7zip 25.01-1.1
accountsservice 23.13.9-2
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
alacritty 0.15.1-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-4.1
alsa-utils 1.2.14-1.1
amd-ucode 1:20250808-1
archlinux-xdg-menu 0.7.6.6-2
ark 25.08.0-1.1
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bat 0.25.0-4.1
beeper-v4-bin 4.0.779-1
bibata-cursor-theme-bin 2.0.7-1
bind 9.20.12-1.1
bluez 5.83-1.2
bluez-hid2hci 5.83-1.2
bluez-libs 5.83-1.2
bluez-utils 5.83-1.2
bottles 2:51.21-3
btop 1.4.4-1.1
btrfs-assistant 2.2-1
btrfs-progs 6.16-1
cachyos-gaming-meta 1:1.0.0-2
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.18.3-1
cachyos-hooks 2025.05.14-1
cachyos-kernel-manager 1.16.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 15-1
cachyos-settings 1:1.2.9-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-zsh-config 1.0.2-1
catppuccin-gtk-theme-macchiato 1.0.3-1
catppuccin-gtk-theme-mocha 1.0.3-1
cava 0.10.4-3.1
cemu-bin 2.6-2
chwd 1.14.2-1
code 1.103.1-1.1
cpupower 6.16-3
cryptsetup 2.8.1-1.1
device-mapper 2.03.34-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2
dmidecode 3.6-1.3
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.91-1.1
dolphin 25.08.0-1.1
dosfstools 4.2-5.1
downgrade 11.5.2-1
duf 0.8.1-3.1
e2fsprogs 1.47.3-1.1
