alacritty 0.15.1-1.1
amd-ucode 1:20250808-1
arch-gaming-meta 4-1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bat 0.25.0-4.1
blueberry 1.4.8-2
bottles 2:51.24-1
brightnessctl 0.5.1-3
btop 1.4.4-1.1
btrfs-progs 6.16-1
cachyos-hello 0.18.3-1
cachyos-kernel-manager 1.16.0-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 22-1
cachyos-rate-mirrors 15-1
cachyos-settings 1:1.2.10-2
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cava 0.10.4-3.1
clang 20.1.8-2
cups 2:2.4.12-2
cups-browsed 2.1.1-1.2
cups-filters 2.0.1-2.1
cups-pdf 3.0.2-1.2
discord-canary 0.0.755-1
docker 1:28.3.3-1.1
docker-buildx 0.28.0-1.1
docker-compose 2.39.2-1.1
dust 1.2.3-1.1
efibootmgr 18-3.1
egl-wayland 4:1.1.20-1.1
evince 48.1-1.1
evtest 1.36-1.2
eza 0.23.2-1.1
fastfetch 2.52.0-1.1
fd 10.3.0-1.1
ffmpegthumbnailer 2.2.3-3.1
flatpak 1:1.16.1-1.1
foot 1.23.1-1.1
fzf 0.65.2-1.1
gcc14 14.3.1+r25+g42e99e057bd7-1.1
ghostty 1.1.3-1.1
git 2.51.0-1.1
github-cli 2.79.0-1.1
gnome-calculator 48.1-2.1
gnome-keyring 1:48.0-1.1
gnome-themes-extra 3.28+r6+g45b1d457-2.1
gowall 0.2.1-1
gst-plugin-pipewire 1:1.4.8-1.1
gum 0.17.0-1.1
gvfs-mtp 1.57.2-4
gvfs-smb 1.57.2-4
hyprland 0.51.0-2
hyprland-qtutils 0.1.5-1.1
hyprlock 0.9.1-1.1
hyprpicker 0.4.5-4.1
hyprshot 1.3.0-4
hyprsunset 0.3.2-1.1
imagemagick 7.1.2.3-1.1
impala 0.3.0-1.1
imv 4.5.0-5.1
inetutils 2.6-1
iwd 3.9-1.1
iwdgui 0.3.0-3
joyutils 1.8.1-3.1
jq 1.8.1-1.1
kdeconnect 25.08.1-1.1
kdenlive 25.08.1-1.1
kitty 0.42.2-1.1
kvantum-qt5 1.1.5-1.1
lazydocker 0.24.1-2.1
lazygit 0.55.0-1.1
less 1:679-1.1
lib32-nvidia-utils 580.82.09-2
libpulse 17.0+r43+g3e2bb8a1e-1.1
libqalculate 5.7.0-1.1
libreoffice-fresh 25.8.1-2.1
librewolf-bin 1:142.0.1_1-1
libva-nvidia-driver 0.0.14-1.1
limine 9.6.6-1
limine-mkinitcpio-hook 1.22.1-2
limine-snapper-sync 1.13.1-2
linux 6.16.6.arch1-1
linux-cachyos 6.16.6-3
linux-cachyos-headers 6.16.6-3
linux-cachyos-nvidia-open 6.16.6-3
linux-firmware 1:20250808-1
linux-headers 6.16.6.arch1-1
llvm 20.1.8-2
localsend 1.17.0-2
luarocks 3.12.2-1
ly 1.1.2-1.1
mako 1.10.0-1.1
man-db 2.13.1-1.1
mangowc-git r865.08c5ba3-1
mariadb-libs 12.0.2-1.1
minecraft-launcher 1:2.1.3-3
mise 2025.9.7-1.1
mpc 0.35-1.1
mpd 0.24.5-1.1
